Word	OLD20	len
unsatisfied	74.0	11
circumcision	90.0	12
shopping	33.0	8
attach	43.0	6
strap	31.0	5
fleshy	44.0	6
fireman	45.0	7
bury	26.0	4
safecracker	90.0	11
accumulate	62.0	10
economical	64.0	10
egoist	39.0	6
banish	38.0	6
nightclub	74.0	9
eaves	27.0	5
dilate	35.0	6
pickle	31.0	6
expire	38.0	6
jugular	53.0	7
listing	32.0	7
script	37.0	6
lipless	39.0	7
nonspecific	99.0	11
clutter	36.0	7
mackerel	57.0	8
waterproof	71.0	10
forehead	50.0	8
undigested	64.0	10
concession	48.0	10
hangnail	63.0	8
fatale	36.0	6
paternal	51.0	8
imitation	43.0	9
complainer	54.0	10
featherbrained	99.0	14
nap	20.0	3
respondent	53.0	10
bold	27.0	4
cuisine	53.0	7
guttural	68.0	8
nationalization	76.0	15
claw	28.0	4
assimilation	69.0	12
unblended	54.0	9
unnoticed	67.0	9
acidic	51.0	6
xylophonist	93.0	11
unmerciful	86.0	10
mystery	46.0	7
